DRUGS_ID;“ËÔ;202101001;202101002;202101003;202101004;202101005;202101006
;QUANTITY;4447,945983;2774,483459;1369,629329;1162,984661;944,2766193;732,3071939
238067;VOLUME;400621633,5;319088207,6;354344048,8;310843064,4;374393756,5;329819823,8
;QUANTITY;1907381,646;1372633,049;1590398,349;1345196,48;1630651,505;1517081,574
245048;VOLUME;2194797,812;3103371,103;2222581,928;2029459,336;1967214,861;2098533,896
;QUANTITY;24516,10494;30828,00251;21380,56321;20223,74953;21839,70429;22165,72372
245049;VOLUME;83486,84516;64295,49099;70506,52129;123185,2337;109421,3976;125118,0081
;QUANTITY;433,7359943;313,3267509;357,4158694;592,8739633;576,0888239;648,5791634
245050;VOLUME;161645,4326;145275,2287;170509,2485;186523,8692;240686,2573;265023,9202
;QUANTITY;698,1694568;620,3198933;743,2736023;733,6204964;933,3299318;991,027367
252882;VOLUME;139436043,7;134568333,6;145909233,1;135905383,7;133839740,3;133721508,3
;QUANTITY;80601,46331;74775,09173;84270,84486;79812,34433;74642,30129;70655,25051
256928;VOLUME;8509386,806;9254081,546;9427048,005;9470621,955;10247790,39;11287580,97
;QUANTITY;87529,10964;93793,29084;95967,49093;93331,66827;101090,4634;111522,9712
256929;VOLUME;26561201,89;22984948,32;22849258,39;22518889,68;24584038,57;27362338,54
;QUANTITY;297070,4602;271276,0856;248589,9726;268111,8322;302745,1935;323295,8468
256930;VOLUME;;;543,6275;554,7516;;275,613
;QUANTITY;;;2,0022;1,9288;;0,9697
256931;VOLUME;42504083,89;37258548,04;36911819,45;38411235,1;49211657,12;54104480,46
;QUANTITY;262829,1134;241871,8436;214083,5542;222730,6593;291767,1973;321486,3164
256932;VOLUME;1722,531906;2307,9456;1689,769197;1930,9632;1717,229665;1532,6
;QUANTITY;10,359;14,2618;11,539;11,8416;11,2563;10,187
256939;VOLUME;29315,83951;;9023,822876;15053,92772;4412,621879;8624,04054
;QUANTITY;260,2619966;;70,79096964;120,9692031;32,26233988;59,05009135
256951;VOLUME;1995,032924;276,9078;563,5344;1618,5173;807,3757526;
;QUANTITY;6,8264;1,0308;1,9126;6,0306;2,764233579;
256952;VOLUME;32631579,99;29946357,84;30653669,36;30523631,97;37076145,24;38065781,75
;QUANTITY;211831,1878;215755,2598;231764,086;225116,4452;276784,6398;279921,9622
256953;VOLUME;198967,932;188831,9599;246772,5805;256171,4051;254840,1733;305607,1641
;QUANTITY;803,7817702;813,8531539;1086,37661;1049,839114;1018,428545;1288,705956
256954;VOLUME;27055,44048;81386,54553;25466,40516;21761,06254;12519,98924;16116,29915
;QUANTITY;170,6536041;436,3881271;161,6714627;127,2273974;75,80473291;92,07184804
256955;VOLUME;65373489,11;58047126,37;69900077,59;142329633,6;85374473,04;145820718,1
;QUANTITY;248411,6485;230033,4123;266155,2785;556355,2341;299256,0971;598935,4357
256956;VOLUME;128019,2401;101018,5911;93758,73962;65269,80598;86066,77409;108104,1761
;QUANTITY;306,5565037;290,144652;225,1913871;188,258836;227,6796554;297,3613137
256957;VOLUME;95879264,13;116250163,6;29674377,92;27021766,82;39637373,35;39054849,81
;QUANTITY;233256,5889;305873,8585;79817,23926;73783,85383;90550,10086;101446,1026
256963;VOLUME;498200,8927;560287,8046;530772,4481;561847,9014;610561,8877;532920,7718
